source,target,distance
78,164,0.49497
78,165,0.14413
78,172,1.4572
78,174,0.052472
78,180,0.4909
78,186,0.051982
78,190,0.14408
78,194,0.20256
78,204,0.54394
78,208,0.89931
78,215,0.65137
78,216,0.1609
78,217,0.30566
78,220,1.2444
78,226,0.76956
78,230,1.1106
78,234,0.51917
78,241,0.14769
78,242,0.61957
78,246,0.41113
78,259,2.048
78,271,0.62856
78,273,0.6492
78,274,0.090573
78,279,0.33584
78,281,0.44517
78,285,0.40388
78,287,0.15681
78,288,0.50855
78,296,0.425
78,298,0.28776
78,306,0.48856
78,308,0.48543
78,313,0.10813
78,320,0.18846
78,331,0.34444
78,338,1.2833
78,343,0.89166
78,346,0.17874
78,348,0.1619
78,362,0.61231
78,372,0.84463
78,390,0.85576
78,393,0.29415
78,394,2.1139
78,400,1.1869
78,404,0.30298
78,407,0.69324
78,413,0.21969
78,415,1.2393
78,421,2.2456
78,425,0.79752
78,437,0.6856
78,442,0.023761
78,443,0.80879
78,453,1.9116
78,457,0.27567
78,472,0.31802
78,475,1.0881
78,476,1.9873
78,477,0.72195
78,490,0.41448
78,492,0.57709
78,493,1.3432
78,496,0.37678
78,497,0.54058
78,500,0.10579
81,82,1.2109
81,92,0.25878
81,97,0.5869
81,109,1.1411
81,119,0.76511
81,120,0.19166
81,125,0.5152
81,126,1.51
81,129,0.64408
81,132,1.7439
81,135,0.23409
81,136,0.30682
81,137,0.49218
81,141,1.6125
81,144,0.99469
81,147,2.3063
81,151,1.0415
81,159,1.4204
81,160,0.33816
81,161,0.73845
81,164,1.3963
81,165,1.0455
81,172,0.5558
81,174,0.95383
81,180,1.3923
81,186,0.95334
81,190,1.0454
81,194,0.6988
81,204,0.35742
81,208,0.0020459
81,215,1.5527
81,216,0.74046
81,217,0.5957
81,220,0.34305
81,226,1.6709
81,230,0.20923
81,234,1.4205
81,241,1.049
81,242,0.28179
81,246,0.49023
81,259,1.1466
81,271,0.2728
81,273,0.25216
81,274,0.81078
81,279,0.56552
81,281,1.3465
81,285,0.49748
81,287,0.74454
81,288,0.3928
81,296,1.3264
81,298,0.6136
81,306,1.3899
81,308,0.41593
81,313,1.0095
81,320,1.0898
81,331,1.2458
81,338,0.3819
81,343,0.0097018
81,346,1.0801
81,348,1.0633
81,362,1.5137
81,372,1.746
81,390,1.7571
81,393,1.1955
81,394,1.2125
81,400,0.28552
81,404,1.2043
81,407,0.20812
81,413,1.121
81,415,0.33797
81,421,1.3442
81,425,0.10384
81,437,1.587
81,442,0.8776
81,443,1.7102
81,453,1.0103
81,457,0.62569
81,472,0.58333
81,475,0.18671
81,476,1.0859
81,477,1.6233
81,490,1.3158
81,492,0.32426
81,493,0.4418
81,496,0.52458
81,497,0.36078
81,500,0.79557
82,92,0.95214
82,97,0.62402
82,109,0.069776
82,119,0.44581
82,120,1.4026
82,125,0.69571
82,126,0.29907
82,129,0.56684
82,132,0.53296
82,135,1.445
82,136,1.5177
82,137,0.71873
82,141,0.40158
82,144,2.2056
82,147,3.5172
82,151,0.16943
82,159,2.6313
82,160,0.87275
82,161,0.47246
82,164,0.18541
82,165,0.16543
82,172,1.7667
82,174,0.25709
82,180,0.18134
82,186,0.25758
82,190,0.16548
82,194,0.51212
82,204,0.8535
82,208,1.2089
82,215,0.34181
82,216,0.47046
82,217,0.61522
82,220,1.554
82,226,0.46
82,230,1.4201
82,234,0.20961
82,241,0.16187
82,242,0.92913
82,246,0.72069
82,259,2.3576
82,271,0.93812
82,273,0.95876
82,274,0.40013
82,279,0.6454
82,281,0.13561
82,285,0.71344
82,287,0.46637
82,288,0.81811
82,296,0.11544
82,298,0.59732
82,306,0.179
82,308,0.79499
82,313,0.20143
82,320,0.1211
82,331,0.034876
82,338,1.5928
82,343,1.2012
82,346,0.13082
82,348,0.14766
82,362,0.30275
82,372,0.53507
82,390,0.5462
82,393,0.015406
82,394,2.4234
82,400,1.4964
82,404,0.0065828
82,407,1.0028
82,413,0.089868
82,415,1.5489
82,421,2.5551
82,425,1.1071
82,437,0.37604
82,442,0.33332
82,443,0.49923
82,453,2.2212
82,457,0.58523
82,472,0.62758
82,475,1.3976
82,476,2.2969
82,477,0.41239
82,490,0.10492
82,492,0.88665
82,493,1.6527
82,496,0.68634
82,497,0.85014
82,500,0.41535
92,97,0.32812
92,109,0.88236
92,119,0.50633
92,120,0.45044
92,125,0.25643
92,126,1.2512
92,129,0.3853
92,132,1.4851
92,135,0.49287
92,136,0.5656
92,137,0.2334
92,141,1.3537
92,144,1.2535
92,147,2.5651
92,151,0.78271
92,159,1.6791
92,160,0.079385
92,161,0.47967
92,164,1.1375
92,165,0.78671
92,172,0.81458
92,174,0.69505
92,180,1.1335
92,186,0.69456
92,190,0.78666
92,194,0.44002
92,204,0.09864
92,208,0.25673
92,215,1.2939
92,216,0.48168
92,217,0.33692
92,220,0.60183
92,226,1.4121
92,230,0.46801
92,234,1.1617
92,241,0.79027
92,242,0.023008
92,246,0.23145
92,259,1.4054
92,271,0.014017
92,273,0.0066215
92,274,0.55201
92,279,0.30674
92,281,1.0877
92,285,0.2387
92,287,0.48576
92,288,0.13402
92,296,1.0676
92,298,0.35482
92,306,1.1311
92,308,0.15715
92,313,0.7507
92,320,0.83104
92,331,0.98701
92,338,0.64067
92,343,0.24908
92,346,0.82132
92,348,0.80448
92,362,1.2549
92,372,1.4872
92,390,1.4983
92,393,0.93673
92,394,1.4713
92,400,0.5443
92,404,0.94556
92,407,0.050664
92,413,0.86227
92,415,0.59675
92,421,1.603
92,425,0.15494
92,437,1.3282
92,442,0.61882
92,443,1.4514
92,453,1.2691
92,457,0.36691
92,472,0.32455
92,475,0.44549
92,476,1.3447
92,477,1.3645
92,490,1.0571
92,492,0.065484
92,493,0.70058
92,496,0.2658
92,497,0.102
92,500,0.53679
97,109,0.55424
97,119,0.1782
97,120,0.77856
97,125,0.071698
97,126,0.92308
97,129,0.057173
97,132,1.157
97,135,0.82099
97,136,0.89372
97,137,0.094718
97,141,1.0256
97,144,1.5816
97,147,2.8932
97,151,0.45458
97,159,2.0073
97,160,0.24874
97,161,0.15155
97,164,0.80943
97,165,0.45858
97,172,1.1427
97,174,0.36693
97,180,0.80535
97,186,0.36644
97,190,0.45853
97,194,0.11189
97,204,0.22948
97,208,0.58486
97,215,0.96582
97,216,0.15355
97,217,0.008793
97,220,0.92995
97,226,1.084
97,230,0.79613
97,234,0.83363
97,241,0.46215
97,242,0.30511
97,246,0.096673
97,259,1.7335
97,271,0.31411
97,273,0.33474
97,274,0.22388
97,279,0.021382
97,281,0.75963
97,285,0.089421
97,287,0.15764
97,288,0.1941
97,296,0.73945
97,298,0.026699
97,306,0.80301
97,308,0.17097
97,313,0.42258
97,320,0.50291
97,331,0.65889
97,338,0.9688
97,343,0.5772
97,346,0.4932
97,348,0.47636
97,362,0.92677
97,372,1.1591
97,390,1.1702
97,393,0.60861
97,394,1.7994
97,400,0.87242
97,404,0.61743
97,407,0.37879
97,413,0.53415
97,415,0.92488
97,421,1.9311
97,425,0.48306
97,437,1.0001
97,442,0.29069
97,443,1.1232
97,453,1.5972
97,457,0.038788
97,472,0.0035693
97,475,0.77361
97,476,1.6728
97,477,1.0364
97,490,0.72893
97,492,0.26264
97,493,1.0287
97,496,0.062325
97,497,0.22612
97,500,0.20867
109,119,0.37604
109,120,1.3328
109,125,0.62594
109,126,0.36885
109,129,0.49707
109,132,0.60274
109,135,1.3752
109,136,1.448
109,137,0.64896
109,141,0.47136
109,144,2.1358
109,147,3.4474
109,151,0.099655
109,159,2.5615
109,160,0.80298
109,161,0.40269
109,164,0.25519
109,165,0.095655
109,172,1.6969
109,174,0.18731
109,180,0.25111
109,186,0.1878
109,190,0.095705
109,194,0.44235
109,204,0.78372
109,208,1.1391
109,215,0.41158
109,216,0.40069
109,217,0.54545
109,220,1.4842
109,226,0.52978
109,230,1.3504
109,234,0.27939
109,241,0.092093
109,242,0.85935
109,246,0.65091
109,259,2.2878
109,271,0.86835
109,273,0.88898
109,274,0.33036
109,279,0.57562
109,281,0.20539
109,285,0.64366
109,287,0.3966
109,288,0.74834
109,296,0.18521
109,298,0.52754
109,306,0.24877
109,308,0.72521
109,313,0.13166
109,320,0.051327
109,331,0.10465
109,338,1.523
109,343,1.1314
109,346,0.061042
109,348,0.077879
109,362,0.37253
109,372,0.60485
109,390,0.61598
109,393,0.05437
109,394,2.3537
109,400,1.4267
109,404,0.063194
109,407,0.93303
109,413,0.020092
109,415,1.4791
109,421,2.4854
109,425,1.0373
109,437,0.44581
109,442,0.26354
109,443,0.56901
109,453,2.1514
109,457,0.51545
109,472,0.55781
109,475,1.3278
109,476,2.2271
109,477,0.48217
109,490,0.17469
109,492,0.81688
109,493,1.5829
109,496,0.61656
109,497,0.78036
109,500,0.34557
119,120,0.95676
119,125,0.2499
119,126,0.74488
119,129,0.12103
119,132,0.97877
119,135,0.9992
119,136,1.0719
119,137,0.27292
119,141,0.84739
119,144,1.7598
